provincia,sector,promovidos_8,promovidos_9,promovidos_10,promovidos_11,promovidos_12,promovidos_1314,nopromo_8,nopromo_9,nopromo_10,nopromo_11,nopromo_12,nopromo_1314,secundaria_egresados
Buenos Aires,Estatal,565,491,403,299,162,26,0,0,0,0,122,0,401
Buenos Aires,Privado,152,176,152,131,161,0,0,0,0,0,3,0,185
Buenos Aires,Estatal,42,46,41,26,18,3,0,0,0,0,9,3,27
Buenos Aires,Estatal,550,508,469,353,237,7,0,0,0,0,45,0,336
Buenos Aires,Privado,339,341,344,332,263,0,0,0,0,0,16,0,295
Buenos Aires,Estatal,5709,4855,4115,3416,2953,298,0,0,0,0,626,165,4050
Buenos Aires,Privado,1657,1518,1373,1365,1085,0,0,0,0,0,283,0,1498
Buenos Aires,Estatal,21,28,26,19,22,0,0,0,0,0,0,0,22
Buenos Aires,Estatal,299,271,283,199,135,12,0,0,0,0,25,0,126
Buenos Aires,Privado,107,95,90,83,51,2,0,0,0,0,4,0,60
Buenos Aires,Estatal,104,69,63,52,37,0,0,0,0,0,15,1,64
Buenos Aires,Estatal,5395,5311,5199,4181,2964,286,0,0,0,0,817,101,3687
Buenos Aires,Privado,2031,1867,1747,1638,1419,61,0,0,0,0,249,21,1733
Buenos Aires,Estatal,2471,2264,2213,1752,1347,277,0,0,0,0,595,60,1630
Buenos Aires,Privado,2069,1996,1878,1710,1517,47,0,0,0,0,285,18,1987
Buenos Aires,Estatal,83,45,55,38,31,9,0,0,0,0,0,0,40
Buenos Aires,Estatal,159,111,155,126,110,33,0,0,0,0,17,0,96
Buenos Aires,Privado,88,89,75,90,73,0,0,0,0,0,3,0,79
Buenos Aires,Estatal,30,27,40,40,26,12,0,0,0,0,0,0,60
Buenos Aires,Estatal,710,624,560,442,327,100,0,0,0,0,128,33,477
Buenos Aires,Privado,362,307,323,323,285,0,0,0,0,0,20,0,305
Buenos Aires,Estatal,73,60,91,63,50,9,0,0,0,0,3,0,53
Buenos Aires,Estatal,1111,1005,1100,919,593,75,0,0,0,0,90,6,751
Buenos Aires,Privado,479,481,478,429,405,0,0,0,0,0,14,0,438
Buenos Aires,Estatal,19,22,18,13,17,0,0,0,0,0,7,0,25
Buenos Aires,Estatal,364,327,404,326,208,14,0,0,0,0,46,1,204
Buenos Aires,Privado,51,65,45,42,53,0,0,0,0,0,0,0,106
Buenos Aires,Estatal,107,102,87,51,53,1,0,0,0,0,12,1,68
Buenos Aires,Estatal,472,430,441,360,290,24,0,0,0,0,23,0,324
Buenos Aires,Privado,72,60,58,53,69,0,0,0,0,0,0,0,80
Buenos Aires,Estatal,20,19,11,10,10,4,0,0,0,0,0,4,14
Buenos Aires,Estatal,71,33,54,41,22,0,0,0,0,0,0,0,41
Buenos Aires,Estatal,1026,943,957,648,438,40,0,0,0,0,66,41,544
Buenos Aires,Privado,79,86,73,57,70,0,0,0,0,0,5,0,91
Buenos Aires,Privado,335,332,317,305,245,0,0,0,0,0,4,0,298
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,59,67,66,57,45,0,0,0,0,0,1,0,49
Buenos Aires,Estatal,3649,3467,3083,2410,1867,94,0,0,0,0,225,119,2395
Buenos Aires,Privado,2126,2120,2077,1822,1800,0,0,0,0,0,147,0,2291
Buenos Aires,Estatal,593,532,523,425,274,50,0,0,0,0,0,0,320
Buenos Aires,Privado,46,40,12,15,7,0,0,0,0,0,2,0,11
Buenos Aires,Estatal,1274,1064,883,646,494,14,0,0,0,0,71,46,485
Buenos Aires,Privado,262,205,174,171,143,0,0,0,0,0,31,0,224
Buenos Aires,Estatal,47,52,51,45,31,2,0,0,0,0,10,2,41
Buenos Aires,Estatal,36,39,34,34,19,15,0,0,0,0,9,1,30
Buenos Aires,Privado,82,78,60,67,67,9,0,0,0,0,2,0,96
Buenos Aires,Estatal,43,42,34,33,21,0,0,0,0,0,0,0,32
Buenos Aires,Estatal,6820,5974,6052,5080,3025,525,0,0,0,0,808,48,3626
Buenos Aires,Privado,3082,2681,2725,2585,2178,0,0,0,0,0,389,0,2545
Buenos Aires,Estatal,29,15,22,17,27,0,0,0,0,0,19,0,27
Buenos Aires,Estatal,599,586,531,391,294,80,0,0,0,0,4,0,327
Buenos Aires,Estatal,44,44,43,38,33,0,0,0,0,0,0,5,17
Buenos Aires,Estatal,78,57,91,40,31,13,0,0,0,0,0,0,32
Buenos Aires,Estatal,65,50,51,37,32,4,0,0,0,0,0,0,55
Buenos Aires,Estatal,176,172,143,117,43,5,0,0,0,0,19,0,70
Buenos Aires,Privado,74,73,65,49,57,0,0,0,0,0,0,0,66
Buenos Aires,Estatal,57,42,33,36,42,5,0,0,0,0,0,0,50
Buenos Aires,Estatal,250,279,222,185,140,0,0,0,0,0,4,2,181
Buenos Aires,Estatal,35,42,43,40,23,0,0,0,0,0,1,0,23
Buenos Aires,Estatal,185,231,192,148,56,14,0,0,0,0,36,0,80
Buenos Aires,Estatal,55,37,36,42,31,2,0,0,0,0,5,0,33
Buenos Aires,Estatal,150,85,89,64,68,12,0,0,0,0,12,0,75
Buenos Aires,Privado,81,92,88,89,67,0,0,0,0,0,11,0,88
Buenos Aires,Estatal,97,94,51,67,50,9,0,0,0,0,2,0,61
Buenos Aires,Estatal,245,211,207,125,162,66,0,0,0,0,11,0,242
Buenos Aires,Privado,108,105,88,88,54,29,0,0,0,0,10,1,90
Buenos Aires,Estatal,102,104,99,69,87,26,0,0,0,0,0,0,105
Buenos Aires,Estatal,79,64,34,34,42,10,0,0,0,0,4,0,59
Buenos Aires,Estatal,512,422,391,303,218,49,0,0,0,0,1,0,223
Buenos Aires,Privado,94,118,107,90,50,0,0,0,0,0,0,0,84
Buenos Aires,Estatal,72,88,58,58,30,0,0,0,0,0,7,0,33
Buenos Aires,Estatal,322,308,302,235,110,14,0,0,0,0,34,13,121
Buenos Aires,Privado,111,119,88,90,95,0,0,0,0,0,0,0,102
Buenos Aires,Estatal,40,17,29,23,10,4,0,0,0,0,8,0,7
Buenos Aires,Estatal,271,255,258,219,149,18,0,0,0,0,3,0,150
Buenos Aires,Privado,69,78,49,69,66,0,0,0,0,0,0,0,104
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,82,92,96,71,43,0,0,0,0,0,0,0,43
Buenos Aires,Estatal,101,78,64,73,50,12,0,0,0,0,6,0,37
Buenos Aires,Estatal,1318,1338,1171,1032,727,78,0,0,0,0,208,24,776
Buenos Aires,Privado,752,709,722,656,566,39,0,0,0,0,78,0,880
Buenos Aires,Estatal,1516,1537,1525,1228,654,52,0,0,0,0,395,3,953
Buenos Aires,Privado,2257,2325,2201,2134,1862,75,0,0,0,0,230,24,2432
Buenos Aires,Estatal,2716,2458,2662,1995,1207,135,0,0,0,0,454,38,1650
Buenos Aires,Privado,2276,2172,2119,2005,1622,0,0,0,0,0,494,0,2018
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,846,810,753,640,524,139,0,0,0,0,259,38,659
Buenos Aires,Privado,685,626,581,526,462,54,0,0,0,0,82,0,635
Buenos Aires,Estatal,72,61,54,31,26,0,0,0,0,0,5,0,46
Buenos Aires,Estatal,864,767,680,595,434,48,0,0,0,0,81,0,605
Buenos Aires,Privado,159,167,164,138,97,4,0,0,0,0,17,0,126
Buenos Aires,Estatal,101,81,89,54,28,0,0,0,0,0,0,0,28
Buenos Aires,Estatal,1077,860,767,629,427,52,0,0,0,0,66,12,705
Buenos Aires,Privado,111,122,108,103,101,36,0,0,0,0,9,0,136
Buenos Aires,Estatal,4,3,7,4,4,0,0,0,0,0,2,0,5
Buenos Aires,Estatal,24,28,7,7,13,0,0,0,0,0,6,0,38
Buenos Aires,Privado,75,82,54,57,29,0,0,0,0,0,8,0,55
Buenos Aires,Estatal,147,148,143,123,72,25,0,0,0,0,28,5,92
Buenos Aires,Estatal,1287,1289,1203,1160,723,131,0,0,0,0,158,11,850
Buenos Aires,Privado,469,466,427,425,404,0,0,0,0,0,4,0,415
Buenos Aires,Estatal,3,5,5,3,3,0,0,0,0,0,0,0,5
Buenos Aires,Estatal,163,151,112,107,51,0,0,0,0,0,0,0,95
Buenos Aires,Estatal,62,37,24,24,26,0,0,0,0,0,1,0,27
Buenos Aires,Estatal,3511,2992,2854,2313,1475,215,0,0,0,0,425,24,2100
Buenos Aires,Privado,2023,1924,1822,1670,1482,21,0,0,0,0,183,8,1986
Buenos Aires,Estatal,19,22,26,19,19,0,0,0,0,0,0,0,25
Buenos Aires,Estatal,51,44,32,34,30,3,0,0,0,0,4,0,36
Buenos Aires,Estatal,98,76,60,65,67,5,0,0,0,0,2,4,89
Buenos Aires,Estatal,11,20,11,6,2,0,0,0,0,0,0,0,10
Buenos Aires,Estatal,529,438,424,319,230,13,0,0,0,0,36,0,282
Buenos Aires,Privado,126,122,91,72,91,0,0,0,0,0,0,0,151
Buenos Aires,Estatal,37,61,43,28,6,2,0,0,0,0,25,9,14
Buenos Aires,Estatal,573,399,430,362,215,30,0,0,0,0,87,0,249
Buenos Aires,Privado,214,224,198,195,143,0,0,0,0,0,11,0,167
Buenos Aires,Estatal,1845,1740,1681,1399,962,69,0,0,0,0,212,99,1209
Buenos Aires,Privado,1537,1565,1574,1434,1312,169,0,0,0,0,176,0,1601
Buenos Aires,Estatal,26,25,17,13,2,2,0,0,0,0,7,0,4
Buenos Aires,Estatal,46,43,44,53,47,13,0,0,0,0,0,0,64
Buenos Aires,Estatal,1059,997,1056,790,469,5,0,0,0,0,240,57,534
Buenos Aires,Privado,1864,1866,1842,1766,1502,33,0,0,0,0,109,14,2093
Buenos Aires,Estatal,388,349,357,277,225,0,0,0,0,0,0,0,271
Buenos Aires,Privado,107,105,93,66,55,0,0,0,0,0,0,0,184
Buenos Aires,Estatal,57,65,60,58,47,0,0,0,0,0,3,0,48
Buenos Aires,Estatal,386,402,441,316,208,7,0,0,0,0,44,0,237
Buenos Aires,Estatal,64,50,40,33,55,15,0,0,0,0,0,0,70
Buenos Aires,Estatal,1078,944,932,732,651,283,0,0,0,0,57,11,1082
Buenos Aires,Privado,338,373,296,304,330,13,0,0,0,0,10,0,411
Catamarca,Estatal,47,35,26,33,24,0,0,0,0,0,18,0,52
Catamarca,Estatal,36,27,25,22,43,0,0,0,0,0,0,0,46
Catamarca,Estatal,61,72,56,43,48,0,0,0,0,0,9,0,80
Catamarca,Estatal,44,28,42,48,61,3,48,29,15,8,23,0,93
Catamarca,Estatal,20,13,12,10,13,0,2,0,1,0,0,0,25
Catamarca,Estatal,202,146,121,145,89,0,2,1,5,4,29,0,126
Catamarca,Estatal,183,159,127,122,91,16,0,0,0,0,9,7,197
Catamarca,Estatal,265,206,69,74,62,4,0,0,0,0,0,0,99
Catamarca,Estatal,105,100,91,63,51,0,0,0,0,0,31,0,55
Catamarca,Estatal,1775,1587,1351,1326,976,102,171,140,125,67,366,15,1156
Catamarca,Privado,595,489,471,462,497,0,0,0,0,0,23,0,827
Catamarca,Estatal,101,96,86,74,70,0,0,0,0,0,0,0,70
Catamarca,Privado,286,240,247,286,199,0,0,0,0,0,89,0,349
Catamarca,Estatal,24,30,22,22,26,15,0,0,0,0,0,0,37
Catamarca,Estatal,79,78,60,64,37,15,20,23,0,0,41,0,106
Catamarca,Estatal,105,104,107,78,80,0,0,0,0,0,25,0,119
Catamarca,Estatal,146,105,89,106,40,5,0,0,0,0,57,13,117
Catamarca,Estatal,77,53,14,41,32,7,0,0,0,0,11,0,68
Catamarca,Estatal,85,71,60,58,30,0,0,0,0,0,32,0,37
Catamarca,Estatal,83,80,67,63,62,17,0,0,0,0,3,0,84
Catamarca,Estatal,48,50,26,41,32,0,1,2,0,0,11,0,34
Catamarca,Estatal,85,71,74,75,71,8,0,0,0,0,2,0,219
Catamarca,Estatal,103,96,47,50,54,0,42,34,28,12,33,10,81
Catamarca,Estatal,13,12,48,25,10,0,0,0,0,0,4,0,100
Catamarca,Estatal,103,79,71,76,64,0,0,0,0,0,15,0,86
